region,year,age,city,village
Vinnytsa,1990,before 15,0,0
Vinnytsa,1990,15-19,1 863,2 412
Vinnytsa,1990,20-24,5 319,4 907
Vinnytsa,1990,25-29,3 192,2 560
Vinnytsa,1990,30-34,1 501,1 064
Vinnytsa,1990,35-39,473,371
Vinnytsa,1990,40-44,83,93
Vinnytsa,1990,45-49,1,5
Vinnytsa,1990,50-54,0,0
Vinnytsa,1990,55 and older,0,0
Vinnytsa,1991,before 15,0,0
Vinnytsa,1991,15-19,1 922,2 664
Vinnytsa,1991,20-24,5 213,5 018
Vinnytsa,1991,25-29,3 058,2 385
Vinnytsa,1991,30-34,1 366,1 055
Vinnytsa,1991,35-39,432,350
Vinnytsa,1991,40-44,69,104
Vinnytsa,1991,45-49,1,2
Vinnytsa,1991,50-54,1,0
Vinnytsa,1991,55 and older,0,0
Vinnytsa,1992,before 15,0,0
Vinnytsa,1992,15-19,1 969,2 732
Vinnytsa,1992,20-24,4 911,5 194
Vinnytsa,1992,25-29,2 670,2 152
Vinnytsa,1992,30-34,1 250,950
Vinnytsa,1992,35-39,346,308
Vinnytsa,1992,40-44,87,94
Vinnytsa,1992,45-49,5,4
Vinnytsa,1992,50-54,0,1
Vinnytsa,1992,55 and older,0,0
Vinnytsa,1993,before 15,0,0
Vinnytsa,1993,15-19,1 784,2 626
Vinnytsa,1993,20-24,4 609,4 786
Vinnytsa,1993,25-29,2 320,2 149
Vinnytsa,1993,30-34,1 246,983
Vinnytsa,1993,35-39,385,324
Vinnytsa,1993,40-44,68,69
Vinnytsa,1993,45-49,2,2
Vinnytsa,1993,50-54,0,0
Vinnytsa,1993,55 and older,0,0
Vinnytsa,1994,before 15,0,0
Vinnytsa,1994,15-19,1 735,2 611
Vinnytsa,1994,20-24,4 214,4 589
Vinnytsa,1994,25-29,2 197,2 090
Vinnytsa,1994,30-34,1 134,922
Vinnytsa,1994,35-39,371,316
Vinnytsa,1994,40-44,84,73
Vinnytsa,1994,45-49,7,6
Vinnytsa,1994,50-54,0,0
Vinnytsa,1994,55 and older,0,1
Vinnytsa,1995,before 15,2,7
Vinnytsa,1995,15-19,1 765,2 631
Vinnytsa,1995,20-24,4 086,4 552
Vinnytsa,1995,25-29,2 136,2 135
Vinnytsa,1995,30-34,1 027,842
Vinnytsa,1995,35-39,371,305
Vinnytsa,1995,40-44,52,66
Vinnytsa,1995,45-49,4,3
Vinnytsa,1995,50-54,0,0
Vinnytsa,1995,55 and older,0,0
Vinnytsa,1996,before 15,0,7
Vinnytsa,1996,15-19,1 685,2 526
Vinnytsa,1996,20-24,4 020,4 495
Vinnytsa,1996,25-29,2 049,2 056
Vinnytsa,1996,30-34,936,802
Vinnytsa,1996,35-39,311,278
Vinnytsa,1996,40-44,58,55
Vinnytsa,1996,45-49,2,4
Vinnytsa,1996,50-54,0,0
Vinnytsa,1996,55 and older,0,0
Vinnytsa,1997,before 15,1,6
Vinnytsa,1997,15-19,1 487,2 273
Vinnytsa,1997,20-24,3 765,4 224
Vinnytsa,1997,25-29,2 080,2 027
Vinnytsa,1997,30-34,910,757
Vinnytsa,1997,35-39,341,298
Vinnytsa,1997,40-44,48,60
Vinnytsa,1997,45-49,2,1
Vinnytsa,1997,50-54,0,0
Vinnytsa,1997,55 and older,0,0
Vinnytsa,1998,before 15,4,9
Vinnytsa,1998,15-19,1 352,2 087
Vinnytsa,1998,20-24,3 313,3 885
Vinnytsa,1998,25-29,1 856,1 975
Vinnytsa,1998,30-34,809,789
Vinnytsa,1998,35-39,286,294
Vinnytsa,1998,40-44,40,61
Vinnytsa,1998,45-49,3,5
Vinnytsa,1998,50-54,1,0
Vinnytsa,1998,55 and older,0,0
Vinnytsa,1999,before 15,1,5
